Scenario,Metric,N,P05,Median,P95,Deterministic_baseline
baseline,MPSP,2000,1.7620693953780222,3.062725768234407,4.685058167475574,3.197988016658072
baseline,GWP,2000,3.6636201760448057,6.708082959373919,11.110932277298916,8.463282019544305
baseline,FEC,2000,53.03283818250227,95.23427209215055,160.22639881987394,117.6241307610255
control,MPSP,2000,7.458067093453487,13.710258564915438,20.941466401261575,13.93900665061464
control,GWP,2000,89.48285890779377,135.38296939797078,196.06297667379866,167.2794185554575
control,FEC,2000,1324.8555699918102,2015.2289805574874,2938.2014987246725,2488.185040620832
ethanol,MPSP,2000,5.929593134580895,7.648658125417809,10.239358075912318,7.518350740449721
ethanol,GWP,2000,7.78219781656583,9.554215489864696,12.59875518824497,9.374159828256879
ethanol,FEC,2000,94.92424566426234,117.09462620431381,155.28379424778308,114.8964669048295
